category,condition,k_irrelevant,total_samples,valid_samples,invalid_samples,invalid_rate,accuracy_invalid_as_wrong,valid_only_accuracy,drop_vs_gt_crop_only_invalid_as_wrong,drop_vs_gt_crop_only_valid_only,flip_rate_vs_gt_crop_only_valid_comparable
GPT4V-hard,original_only,0,17,17,0,0.0,0.5294117647058824,0.5294117647058824,0.3529411764705882,0.3529411764705882,0.5294117647058824
GPT4V-hard,gt_crop_only,0,17,17,0,0.0,0.8823529411764706,0.8823529411764706,0.0,0.0,
GPT4V-hard,gt_plus_1_irrelevant,1,17,17,0,0.0,0.9411764705882353,0.9411764705882353,-0.05882352941176472,-0.05882352941176472,0.058823529411764705
GPT4V-hard,gt_plus_4_irrelevant,4,17,17,0,0.0,0.8235294117647058,0.8235294117647058,0.05882352941176472,0.05882352941176472,0.17647058823529413
GPT4V-hard,gt_plus_8_irrelevant,8,17,17,0,0.0,0.8823529411764706,0.8823529411764706,0.0,0.0,0.11764705882352941
OCR,original_only,0,30,30,0,0.0,0.7666666666666667,0.7666666666666667,0.23333333333333328,0.23333333333333328,0.23333333333333334
OCR,gt_crop_only,0,30,30,0,0.0,1.0,1.0,0.0,0.0,
OCR,gt_plus_1_irrelevant,1,30,29,1,0.03333333333333333,0.9666666666666667,1.0,0.033333333333333326,0.0,0.0
OCR,gt_plus_4_irrelevant,4,30,30,0,0.0,1.0,1.0,0.0,0.0,0.0
OCR,gt_plus_8_irrelevant,8,30,29,1,0.03333333333333333,0.9666666666666667,1.0,0.033333333333333326,0.0,0.0
direct_attributes,original_only,0,115,113,2,0.017391304347826087,0.6086956521739131,0.6194690265486725,0.13913043478260867,0.1553057482261022,0.29357798165137616
direct_attributes,gt_crop_only,0,115,111,4,0.034782608695652174,0.7478260869565218,0.7747747747747747,0.0,0.0,
direct_attributes,gt_plus_1_irrelevant,1,115,111,4,0.034782608695652174,0.7043478260869566,0.7297297297297297,0.04347826086956519,0.04504504504504503,0.11009174311926606
direct_attributes,gt_plus_4_irrelevant,4,115,102,13,0.11304347826086956,0.6782608695652174,0.7647058823529411,0.06956521739130439,0.01006889242183362,0.16831683168316833
direct_attributes,gt_plus_8_irrelevant,8,115,103,12,0.10434782608695652,0.6695652173913044,0.7475728155339806,0.07826086956521738,0.02720195924079416,0.20588235294117646
relative_position,original_only,0,76,76,0,0.0,0.7236842105263158,0.7236842105263158,0.0,0.0,0.23684210526315788
relative_position,gt_crop_only,0,76,76,0,0.0,0.7236842105263158,0.7236842105263158,0.0,0.0,
relative_position,gt_plus_1_irrelevant,1,76,76,0,0.0,0.7236842105263158,0.7236842105263158,0.0,0.0,0.13157894736842105
relative_position,gt_plus_4_irrelevant,4,76,76,0,0.0,0.6842105263157895,0.6842105263157895,0.03947368421052633,0.03947368421052633,0.09210526315789473
relative_position,gt_plus_8_irrelevant,8,76,76,0,0.0,0.6578947368421053,0.6578947368421053,0.06578947368421051,0.06578947368421051,0.17105263157894737
