category,condition,k_irrelevant,num_samples,accuracy,drop_vs_gt_crop_only,flip_rate_vs_gt_crop_only,failed
GPT4V-hard,original_only,0,17,0.529412,0.352941,0.529412,0
GPT4V-hard,gt_crop_only,0,17,0.882353,0.000000,,0
GPT4V-hard,gt_plus_1_irrelevant,1,17,0.941176,-0.058824,0.058824,0
GPT4V-hard,gt_plus_4_irrelevant,4,17,0.823529,0.058824,0.176471,0
GPT4V-hard,gt_plus_8_irrelevant,8,17,0.882353,0.000000,0.117647,0
OCR,original_only,0,30,0.766667,0.233333,0.233333,0
OCR,gt_crop_only,0,30,1.000000,0.000000,,0
OCR,gt_plus_1_irrelevant,1,30,0.966667,0.033333,0.000000,1
OCR,gt_plus_4_irrelevant,4,30,1.000000,0.000000,0.000000,0
OCR,gt_plus_8_irrelevant,8,30,0.966667,0.033333,0.000000,1
direct_attributes,original_only,0,115,0.608696,0.139130,0.293578,2
direct_attributes,gt_crop_only,0,115,0.747826,0.000000,,4
direct_attributes,gt_plus_1_irrelevant,1,115,0.704348,0.043478,0.110092,4
direct_attributes,gt_plus_4_irrelevant,4,115,0.678261,0.069565,0.168317,13
direct_attributes,gt_plus_8_irrelevant,8,115,0.669565,0.078261,0.205882,12
relative_position,original_only,0,76,0.723684,0.000000,0.236842,0
relative_position,gt_crop_only,0,76,0.723684,0.000000,,0
relative_position,gt_plus_1_irrelevant,1,76,0.723684,0.000000,0.131579,0
relative_position,gt_plus_4_irrelevant,4,76,0.684211,0.039474,0.092105,0
relative_position,gt_plus_8_irrelevant,8,76,0.657895,0.065789,0.171053,0
