first_condition,second_condition,mode,metric,num_pairs,first_only,second_only,discordant,p_value
O_oracle_top2_direct,F_full_direct,strict,valid_answer,88,2,1,3,1.0
O_oracle_top2_direct,F_full_direct,strict,final_correct,85,0,0,0,1.0
O_oracle_top2_direct,F_full_direct,lenient,valid_answer,88,2,1,3,1.0
O_oracle_top2_direct,F_full_direct,lenient,final_correct,85,0,0,0,1.0
O_oracle_top2_direct,R_recent_top2_direct,strict,valid_answer,88,3,2,5,1.0
O_oracle_top2_direct,R_recent_top2_direct,strict,final_correct,85,1,1,2,1.0
O_oracle_top2_direct,R_recent_top2_direct,lenient,valid_answer,88,3,2,5,1.0
O_oracle_top2_direct,R_recent_top2_direct,lenient,final_correct,85,1,1,2,1.0
O_oracle_top2_direct,X_random_top2_direct,strict,valid_answer,88,3,0,3,0.25
O_oracle_top2_direct,X_random_top2_direct,strict,final_correct,85,0,0,0,1.0
O_oracle_top2_direct,X_random_top2_direct,lenient,valid_answer,88,3,0,3,0.25
O_oracle_top2_direct,X_random_top2_direct,lenient,final_correct,85,0,0,0,1.0
