first_condition,second_condition,mode,metric,num_pairs,mean_difference_first_minus_second,ci95_low,ci95_high,bootstrap_replicates
O_oracle_top2_direct,F_full_direct,strict,valid_answer,2,0.0,0.0,0.0,10000
O_oracle_top2_direct,F_full_direct,strict,final_correct,2,0.0,0.0,0.0,10000
O_oracle_top2_direct,F_full_direct,lenient,valid_answer,2,0.0,0.0,0.0,10000
O_oracle_top2_direct,F_full_direct,lenient,final_correct,2,0.0,0.0,0.0,10000
O_oracle_top2_direct,R_recent_top2_direct,strict,valid_answer,2,0.0,0.0,0.0,10000
O_oracle_top2_direct,R_recent_top2_direct,strict,final_correct,2,0.0,0.0,0.0,10000
O_oracle_top2_direct,R_recent_top2_direct,lenient,valid_answer,2,0.0,0.0,0.0,10000
O_oracle_top2_direct,R_recent_top2_direct,lenient,final_correct,2,0.0,0.0,0.0,10000
O_oracle_top2_direct,X_random_top2_direct,strict,valid_answer,2,0.0,0.0,0.0,10000
O_oracle_top2_direct,X_random_top2_direct,strict,final_correct,2,0.0,0.0,0.0,10000
O_oracle_top2_direct,X_random_top2_direct,lenient,valid_answer,2,0.0,0.0,0.0,10000
O_oracle_top2_direct,X_random_top2_direct,lenient,final_correct,2,0.0,0.0,0.0,10000
