sample_id,condition,retained_crop_indices,evicted_crop_indices,retained_gt_coverages,retained_prefix_image_count,evicted_prefix_image_count,input_tokens_first_post_intervention,visual_tokens_first_post_intervention,prefix_visual_tokens_after_intervention,prefix_snapshot_sha256
TPROMPT0a24f2bbb0a8,A_full,"[1, 2, 3, 4, 5, 6]",[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",6,0,7086,5119,2577,7b9fd4e641abcb27e6f05627b9b68b2fd8d890d6952583d936b60086f9f224b5
TPROMPT0ac61557657c,A_full,"[1, 2, 3, 4, 5, 6]",[],"[0.0, 0.0, 1.0, 1.0, 1.0, 0.0]",6,0,12387,10787,8245,80c22fa00f84c6b07402937f2e2c12e1d1061d10fe2702cfea59437e70ead206
TPROMPT0bfb8770708e,A_full,"[1, 2, 3, 4, 5, 6]",[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",6,0,10586,8905,6425,bd5db29846c1101c0ff19d6d8ceabcd7aa1ea5cc4630b4ed2bad485945c30771
TPROMPT2f6ab630f960,A_full,"[1, 2, 3, 4, 5, 6]",[],"[0.24468085106382978, 0.24468085106382978, 0.29545454545454547, 0.29545454545454547, 0.2263056092843327, 0.0]",6,0,16736,15050,12556,7c1afcb7687048c83473ecbb859ad768a43089690cb4d6ccb2229cabc31a1d3f
TPROMPT3091df45580c,A_full,"[1, 2, 3, 4, 5, 6]",[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",6,0,8651,7113,4571,f300a4a5bed7548580205c6e5ec27e506094a928f2090d44e846e787cc23e850
TPROMPT31999fa85408,A_full,"[1, 2, 3, 4, 5, 6]",[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",6,0,4345,2825,836,3c0b490f828ce187b4dcfcb348b15b410389c2e30cc716e489aa894e42aeb0dd
TPROMPT378b8f698c05,A_full,"[1, 2, 3, 4, 5, 6]",[],"[1.0, 1.0, 1.0, 0.7970071567989591, 0.33344176968119715, 0.18249837345478204]",6,0,6104,4611,2117,77f2fdf931616bae9554dbac4559a3cdc3ae328a43189d3784e660d8a288fdea
TPROMPT433eb7d38409,A_full,"[1, 2, 3, 4, 5, 6]",[],"[0.0, 0.0, 1.0, 1.0, 0.24516129032258063, 1.0]",6,0,5588,4005,2016,d06be5a910db2b0328d2b7327e70937a58ca59ab851873b390faff2f7985fb15
TPROMPT59892e5d6946,A_full,"[1, 2, 3, 4, 5, 6]",[],"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",6,0,4681,2872,883,908f7d8f0f85a3caceb79e4cd8978fb386a54f0b2351eb1f4455e62d2a657efc
TPROMPT6064c9a5c9cc,A_full,"[1, 2, 3, 4, 5, 6]",[],"[1.0, 1.0, 1.0, 0.3684210526315789, 0.3684210526315789, 0.3684210526315789]",6,0,4697,3161,615,032faf05221453f6a75c3dbddabb1fe47c84b08c1fc033fff95c9f5f72364aab
TPROMPT642beb76b8d9,A_full,"[1, 2, 3, 4, 5, 6]",[],"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",6,0,4739,3399,1410,a17adbfa9c0934530dc5af0f076aa5ea9f6f5230c3408bf1fbdb2f40e8cd16b1
TPROMPT65ab072c3b73,A_full,"[1, 2, 3, 4, 5, 6]",[],"[0.5981308411214953, 0.49428868120456904, 0.49428868120456904, 0.49428868120456904, 0.49428868120456904, 0.49428868120456904]",6,0,5376,3594,1044,82afdf00c48307f72013ba235da094218e89bfae0a44ffca1f0432c44f5187e7
