cohort,first_condition,second_condition,metric,num_pairs,first_only,second_only,discordant,p_value
primary_prefix_hit,B_oracle_top2,A_full,answer,0,0,0,0,1.0
primary_prefix_hit,B_oracle_top2,A_full,correct,0,0,0,0,1.0
primary_prefix_hit,B_oracle_top2,C_recent_top2,answer,0,0,0,0,1.0
primary_prefix_hit,B_oracle_top2,C_recent_top2,correct,0,0,0,0,1.0
primary_prefix_hit,B_oracle_top2,E_random_top2,answer,0,0,0,0,1.0
primary_prefix_hit,B_oracle_top2,E_random_top2,correct,0,0,0,0,1.0
primary_prefix_hit,B_oracle_top2,D_force_answer_r6,answer,0,0,0,0,1.0
primary_prefix_hit,B_oracle_top2,D_force_answer_r6,correct,0,0,0,0,1.0
primary_prefix_hit,C_recent_top2,E_random_top2,answer,0,0,0,0,1.0
primary_prefix_hit,C_recent_top2,E_random_top2,correct,0,0,0,0,1.0
secondary_prefix_no_hit,B_oracle_top2,A_full,answer,0,0,0,0,1.0
secondary_prefix_no_hit,B_oracle_top2,A_full,correct,0,0,0,0,1.0
secondary_prefix_no_hit,B_oracle_top2,C_recent_top2,answer,0,0,0,0,1.0
secondary_prefix_no_hit,B_oracle_top2,C_recent_top2,correct,0,0,0,0,1.0
secondary_prefix_no_hit,B_oracle_top2,E_random_top2,answer,0,0,0,0,1.0
secondary_prefix_no_hit,B_oracle_top2,E_random_top2,correct,0,0,0,0,1.0
secondary_prefix_no_hit,B_oracle_top2,D_force_answer_r6,answer,0,0,0,0,1.0
secondary_prefix_no_hit,B_oracle_top2,D_force_answer_r6,correct,0,0,0,0,1.0
secondary_prefix_no_hit,C_recent_top2,E_random_top2,answer,0,0,0,0,1.0
secondary_prefix_no_hit,C_recent_top2,E_random_top2,correct,0,0,0,0,1.0
