cohort,first_condition,second_condition,metric,num_pairs,mean_difference_first_minus_second,ci95_low,ci95_high,bootstrap_replicates
primary_prefix_hit,B_oracle_top2,A_full,answer,10,0.0,0.0,0.0,10000
primary_prefix_hit,B_oracle_top2,A_full,correct,10,0.0,0.0,0.0,10000
primary_prefix_hit,B_oracle_top2,A_full,num_additional_crops,10,-1.7,-2.6,-0.8,10000
primary_prefix_hit,B_oracle_top2,A_full,final_round,10,0.0,0.0,0.0,10000
primary_prefix_hit,B_oracle_top2,A_full,runtime_seconds,10,-2.204716220498085,-5.000864592832513,0.40027721545658934,10000
primary_prefix_hit,B_oracle_top2,C_recent_top2,answer,10,0.0,0.0,0.0,10000
primary_prefix_hit,B_oracle_top2,C_recent_top2,correct,10,0.0,0.0,0.0,10000
primary_prefix_hit,B_oracle_top2,C_recent_top2,num_additional_crops,10,-0.5,-2.1,1.3,10000
primary_prefix_hit,B_oracle_top2,C_recent_top2,final_round,10,0.0,0.0,0.0,10000
primary_prefix_hit,B_oracle_top2,C_recent_top2,runtime_seconds,10,5.015201512165367,1.2047848330996933,10.571911193244159,10000
primary_prefix_hit,B_oracle_top2,E_random_top2,answer,10,0.0,0.0,0.0,10000
primary_prefix_hit,B_oracle_top2,E_random_top2,correct,10,0.0,0.0,0.0,10000
primary_prefix_hit,B_oracle_top2,E_random_top2,num_additional_crops,10,0.2,-1.0,1.5,10000
primary_prefix_hit,B_oracle_top2,E_random_top2,final_round,10,0.0,0.0,0.0,10000
primary_prefix_hit,B_oracle_top2,E_random_top2,runtime_seconds,10,4.898420957103371,0.8657447809353471,10.872278861748054,10000
primary_prefix_hit,B_oracle_top2,D_force_answer_r6,answer,10,0.0,0.0,0.0,10000
primary_prefix_hit,B_oracle_top2,D_force_answer_r6,correct,10,0.0,0.0,0.0,10000
primary_prefix_hit,B_oracle_top2,D_force_answer_r6,num_additional_crops,10,3.3,2.4,4.2,10000
primary_prefix_hit,B_oracle_top2,D_force_answer_r6,final_round,10,5.0,5.0,5.0,10000
primary_prefix_hit,B_oracle_top2,D_force_answer_r6,runtime_seconds,10,30.581009165942667,25.20606280534994,38.07096011264715,10000
primary_prefix_hit,C_recent_top2,E_random_top2,answer,10,0.0,0.0,0.0,10000
primary_prefix_hit,C_recent_top2,E_random_top2,correct,10,0.0,0.0,0.0,10000
primary_prefix_hit,C_recent_top2,E_random_top2,num_additional_crops,10,0.7,-0.6,1.9,10000
primary_prefix_hit,C_recent_top2,E_random_top2,final_round,10,0.0,0.0,0.0,10000
primary_prefix_hit,C_recent_top2,E_random_top2,runtime_seconds,10,-0.11678055506199599,-1.0071671738941224,0.7938695400860156,10000
secondary_prefix_no_hit,B_oracle_top2,A_full,answer,0,,,,10000
secondary_prefix_no_hit,B_oracle_top2,A_full,correct,0,,,,10000
secondary_prefix_no_hit,B_oracle_top2,A_full,num_additional_crops,0,,,,10000
secondary_prefix_no_hit,B_oracle_top2,A_full,final_round,0,,,,10000
secondary_prefix_no_hit,B_oracle_top2,A_full,runtime_seconds,0,,,,10000
secondary_prefix_no_hit,B_oracle_top2,C_recent_top2,answer,0,,,,10000
secondary_prefix_no_hit,B_oracle_top2,C_recent_top2,correct,0,,,,10000
secondary_prefix_no_hit,B_oracle_top2,C_recent_top2,num_additional_crops,0,,,,10000
secondary_prefix_no_hit,B_oracle_top2,C_recent_top2,final_round,0,,,,10000
secondary_prefix_no_hit,B_oracle_top2,C_recent_top2,runtime_seconds,0,,,,10000
secondary_prefix_no_hit,B_oracle_top2,E_random_top2,answer,0,,,,10000
secondary_prefix_no_hit,B_oracle_top2,E_random_top2,correct,0,,,,10000
secondary_prefix_no_hit,B_oracle_top2,E_random_top2,num_additional_crops,0,,,,10000
secondary_prefix_no_hit,B_oracle_top2,E_random_top2,final_round,0,,,,10000
secondary_prefix_no_hit,B_oracle_top2,E_random_top2,runtime_seconds,0,,,,10000
secondary_prefix_no_hit,B_oracle_top2,D_force_answer_r6,answer,0,,,,10000
secondary_prefix_no_hit,B_oracle_top2,D_force_answer_r6,correct,0,,,,10000
secondary_prefix_no_hit,B_oracle_top2,D_force_answer_r6,num_additional_crops,0,,,,10000
secondary_prefix_no_hit,B_oracle_top2,D_force_answer_r6,final_round,0,,,,10000
secondary_prefix_no_hit,B_oracle_top2,D_force_answer_r6,runtime_seconds,0,,,,10000
secondary_prefix_no_hit,C_recent_top2,E_random_top2,answer,0,,,,10000
secondary_prefix_no_hit,C_recent_top2,E_random_top2,correct,0,,,,10000
secondary_prefix_no_hit,C_recent_top2,E_random_top2,num_additional_crops,0,,,,10000
secondary_prefix_no_hit,C_recent_top2,E_random_top2,final_round,0,,,,10000
secondary_prefix_no_hit,C_recent_top2,E_random_top2,runtime_seconds,0,,,,10000
