sample_id,cohort,oracle_crop_1_index,oracle_crop_2_index,oracle_crop_1_gt_coverage,oracle_crop_2_gt_coverage,oracle_crop_1_area,oracle_crop_2_area,GT_area,GT_to_crop_area_ratio_1,GT_to_crop_area_ratio_2,mutual_iou_between_oracle_crops,oracle_crop_1_processed_width,oracle_crop_1_processed_height,oracle_crop_2_processed_width,oracle_crop_2_processed_height,both_coverage_100,highly_redundant_pair
TPROMPT08c724f096a1,primary_prefix_hit,1,2,1.0,1.0,186624.0,39390.0,1075.0,0.005760245198902606,0.027291190657527293,0.21106610082304528,432,432,305,131,True,False
TPROMPT294532df0b70,primary_prefix_hit,1,2,1.0,0.24509803921568626,91260.0,22950.0,408.0,0.004470742932281394,0.017777777777777778,0.2514792899408284,270,338,178,224,False,False
TPROMPT2d3a530d79de,primary_prefix_hit,1,2,1.0,1.0,186624.0,112320.0,840.0,0.0045010288065843625,0.007478632478632479,0.6018518518518519,432,432,432,260,True,False
TPROMPT312e2d4924ab,primary_prefix_hit,1,5,1.0,0.2830188679245283,8027264.0,1285750.0,712161.0,0.08871777482340185,0.553887614232938,0.16017288082215808,2307,866,1850,695,False,False
TPROMPT4e84c67324b4,primary_prefix_hit,1,2,0.7258064516129032,0.0,1181184.0,285360.0,16926.0,0.014329689531859558,0.05931455004205215,0.24158810143042914,1536,769,1230,232,False,False
TPROMPT59892e5d6946,primary_prefix_hit,1,2,1.0,1.0,373248.0,90090.0,1073.0,0.002874764231824417,0.01191031191031191,0.24136766975308643,648,576,390,231,True,False
TPROMPT642beb76b8d9,primary_prefix_hit,1,2,1.0,0.0,233280.0,186624.0,954.0,0.004089506172839506,0.005111882716049383,0.17391304347826086,540,432,432,432,False,False
TPROMPTbbf9cdc186ad,primary_prefix_hit,1,2,1.0,1.0,435456.0,79170.0,1075.0,0.0024686765138154025,0.013578375647341165,0.1818094135802469,756,576,455,174,True,False
TPROMPTe2ae8879903b,primary_prefix_hit,1,2,1.0,1.0,311040.0,37368.0,738.0,0.002372685185185185,0.0197495183044316,0.12013888888888889,540,576,223,179,True,False
TPROMPTf9789aa0279c,primary_prefix_hit,1,2,1.0,0.0,332929.0,53592.0,1365.0,0.004099973267573566,0.025470219435736678,0.16097125813611912,577,577,231,232,False,False
