cohort,condition,num_samples,answered,answer_rate,final_correct,final_scored,judge_pending,final_accuracy,accuracy_among_answered,natural_stops,natural_termination_rate,mean_additional_crops,median_additional_crops,mean_stop_round,max_round_rate,max_image_rate,mean_first_post_visual_tokens,mean_runtime_seconds,oom,invalid,subgroup_dimension,subgroup_value
primary_prefix_hit,A_full,10,0,0.0,0,10,0,0.0,,0,0.0,5.0,5.0,12.0,1.0,1.0,4098.0,39.42314223255962,0,0,first_gt_hit,early_1_2
primary_prefix_hit,B_oracle_top2,10,0,0.0,0,10,0,0.0,,0,0.0,3.3,2.5,12.0,1.0,0.4,3086.8,37.218426012061535,0,0,first_gt_hit,early_1_2
primary_prefix_hit,C_recent_top2,10,0,0.0,0,10,0,0.0,,0,0.0,3.8,5.0,12.0,1.0,0.6,2661.1,32.203224499896166,0,0,first_gt_hit,early_1_2
primary_prefix_hit,D_force_answer_r6,10,0,0.0,0,10,0,0.0,,0,0.0,0.0,0.0,7.0,0.0,0.0,4098.0,6.637416846118867,0,10,first_gt_hit,early_1_2
primary_prefix_hit,E_random_top2,10,0,0.0,0,10,0,0.0,,0,0.0,3.1,3.0,12.0,1.0,0.4,2762.4,32.320005054958166,0,0,first_gt_hit,early_1_2
primary_prefix_hit,A_full,9,0,0.0,0,9,0,0.0,,0,0.0,5.0,5.0,12.0,1.0,1.0,4034.6666666666665,39.53265516791079,0,0,max_gt_coverage,100pct
primary_prefix_hit,B_oracle_top2,9,0,0.0,0,9,0,0.0,,0,0.0,3.4444444444444446,3.0,12.0,1.0,0.4444444444444444,2948.5555555555557,36.48895331554942,0,0,max_gt_coverage,100pct
primary_prefix_hit,C_recent_top2,9,0,0.0,0,9,0,0.0,,0,0.0,3.6666666666666665,5.0,12.0,1.0,0.5555555555555556,2663.6666666666665,32.03327135969367,0,0,max_gt_coverage,100pct
primary_prefix_hit,D_force_answer_r6,9,0,0.0,0,9,0,0.0,,0,0.0,0.0,0.0,7.0,0.0,0.0,4034.6666666666665,6.555089844597711,0,9,max_gt_coverage,100pct
primary_prefix_hit,E_random_top2,9,0,0.0,0,9,0,0.0,,0,0.0,2.888888888888889,2.0,12.0,1.0,0.3333333333333333,2743.3333333333335,32.21223974207209,0,0,max_gt_coverage,100pct
primary_prefix_hit,A_full,1,0,0.0,0,1,0,0.0,,0,0.0,5.0,5.0,12.0,1.0,1.0,4668.0,38.43752581439912,0,0,max_gt_coverage,50_99pct
primary_prefix_hit,B_oracle_top2,1,0,0.0,0,1,0,0.0,,0,0.0,2.0,2.0,12.0,1.0,0.0,4331.0,43.783680280670524,0,0,max_gt_coverage,50_99pct
primary_prefix_hit,C_recent_top2,1,0,0.0,0,1,0,0.0,,0,0.0,5.0,5.0,12.0,1.0,1.0,2638.0,33.73280276171863,0,0,max_gt_coverage,50_99pct
primary_prefix_hit,D_force_answer_r6,1,0,0.0,0,1,0,0.0,,0,0.0,0.0,0.0,7.0,0.0,0.0,4668.0,7.378359859809279,0,1,max_gt_coverage,50_99pct
primary_prefix_hit,E_random_top2,1,0,0.0,0,1,0,0.0,,0,0.0,5.0,5.0,12.0,1.0,1.0,2934.0,33.28989287093282,0,0,max_gt_coverage,50_99pct
primary_prefix_hit,A_full,6,0,0.0,0,6,0,0.0,,0,0.0,5.0,5.0,12.0,1.0,1.0,4520.0,43.53009791051348,0,0,irrelevant_prefix_crops,0_2
primary_prefix_hit,B_oracle_top2,6,0,0.0,0,6,0,0.0,,0,0.0,3.6666666666666665,4.0,12.0,1.0,0.5,3128.3333333333335,39.90528865531087,0,0,irrelevant_prefix_crops,0_2
primary_prefix_hit,C_recent_top2,6,0,0.0,0,6,0,0.0,,0,0.0,3.5,4.5,12.0,1.0,0.5,2796.0,33.48680276951442,0,0,irrelevant_prefix_crops,0_2
primary_prefix_hit,D_force_answer_r6,6,0,0.0,0,6,0,0.0,,0,0.0,0.0,0.0,7.0,0.0,0.0,4520.0,6.633481062638263,0,6,irrelevant_prefix_crops,0_2
primary_prefix_hit,E_random_top2,6,0,0.0,0,6,0,0.0,,0,0.0,3.0,3.0,12.0,1.0,0.3333333333333333,2855.8333333333335,33.99425983397911,0,0,irrelevant_prefix_crops,0_2
primary_prefix_hit,A_full,1,0,0.0,0,1,0,0.0,,0,0.0,5.0,5.0,12.0,1.0,1.0,2547.0,34.03353197686374,0,0,irrelevant_prefix_crops,3_4
primary_prefix_hit,B_oracle_top2,1,0,0.0,0,1,0,0.0,,0,0.0,2.0,2.0,12.0,1.0,0.0,2269.0,34.6070408988744,0,0,irrelevant_prefix_crops,3_4
primary_prefix_hit,C_recent_top2,1,0,0.0,0,1,0,0.0,,0,0.0,5.0,5.0,12.0,1.0,1.0,2137.0,32.937287578359246,0,0,irrelevant_prefix_crops,3_4
primary_prefix_hit,D_force_answer_r6,1,0,0.0,0,1,0,0.0,,0,0.0,0.0,0.0,7.0,0.0,0.0,2547.0,6.960705550387502,0,1,irrelevant_prefix_crops,3_4
primary_prefix_hit,E_random_top2,1,0,0.0,0,1,0,0.0,,0,0.0,1.0,1.0,12.0,1.0,0.0,2117.0,34.10865292698145,0,0,irrelevant_prefix_crops,3_4
primary_prefix_hit,A_full,3,0,0.0,0,3,0,0.0,,0,0.0,5.0,5.0,12.0,1.0,1.0,3771.0,33.00576762855053,0,0,irrelevant_prefix_crops,5
primary_prefix_hit,B_oracle_top2,3,0,0.0,0,3,0,0.0,,0,0.0,3.0,2.0,12.0,1.0,0.3333333333333333,3276.3333333333335,32.71516242995858,0,0,irrelevant_prefix_crops,5
